date,content,category,label
27-11-2029,: لقاو مقبرة قديمة جداً تاع ملوك ونبلاء في منطقة تلمسان.,Culture,fake
10-12-2029,: تم إلقاء القبض على أكبر مهرب سيارات فخمة في تاريخ الجزائر.,Judiciary,fake
23-01-2030,: إشاعة بلي الجزائر راح ترجع للعمل بـ النظام الملكي!,Politics,fake
06-02-2030,: الدولة راهي تطلق برنامج باش تزرع مليار شجرة في الصحراء الجزائرية!,Environment,fake
01-03-2030,: خط ترامواي جديد راح يربط بين بجاية وجندل في البويرة.,Economy,fake
15-04-2026,: قرار جديد بلي اللي عندو سكنات اجتماعية لازم يبيعها للدولة إذا ما سكنش فيها لمدة عام.,Social,fake
28-05-2026,: إطلاق مشروع سياحي ضخم جديد في سيدي فرج راح يخليها تنافس دبي!,Economy,fake
10-06-2026,: إشاعة بلي شركة جزائرية راهي تصنع طائرة ركاب بالـ ذكاء الاصطناعي!,Technology,fake
24-07-2026,: المدرب عادل عمروش راهو يستقيل من تدريب المنتخب التنزاني ويرجع للجزائر باش يدرب فريق محلي.,Sports,fake
06-08-2026,: تحذير من مرض جلدي جديد راهو ينتشر بسرعة في المسابح العمومية!,Health,fake
20-09-2026,: وزارة التربية قررت تزيد ساعة إضافية في اليوم للدراسة في جميع المستويات.,Education,fake
03-10-2026,: إشاعة بلي الجزائر راح تطلق برنامج لتوطين اللاجئين الفلسطينيين في أراضيها.,Politics,fake
17-11-2026,: اكتشاف بلي سد بني هارون (ميلة) راهو يخبي تحتو مدينة غارقة قديمة بزاف.,Culture,fake
30-12-2026,: الدولة راح تسمح للمواطنين باش يشرو شقق في فرنسا بأقساط.,Economy,fake
13-01-2027,: إطلاق حملة تبرع بالدم إجبارية على جميع الموظفين مرة في العام.,Social,fake
26-02-2027,: إشاعة بلي الجزائر راهي تحضر باش تطلق قمر صناعي جديد خاص بالإنترنت.,Technology,fake
12-03-2027,: نادي اتحاد بلعباس راهو يرجع للقسم الأول بقرار إداري!,Sports,fake
25-04-2027,: اكتشاف دواء جزائري جديد يقضي على مرض الصدفية نهائياً في شهر.,Health,fake
09-05-2027,: راح يبداو يطبقو غرامة كبيرة على أي واحد يوقف السيارة تاعو في مكان ممنوع.,Judiciary,fake
22-06-2027,: وزارة التعليم العالي راح تطلق برنامج جديد يمد منحة للطلبة اللي يتزوجو وهما يقراو في الجامعة.,Education,fake
04-07-2027,: إشاعة بلي الرئيس راح يغير النشيد الوطني للجزائر.,Politics,fake
17-08-2027,: لقاو تمثال ذهبي ضخم يعود للحقبة العثمانية في قصر الداي حسين.,Culture,fake
30-09-2027,: الدولة راح تفتح بنك جديد خاص بـ النساء برك.,Economy,fake
13-10-2027,: تحذير من إبر مسمومة راهي تنتشر في الأسواق الشعبية.,Social,fake
27-11-2027,: إطلاق خدمة التعرف على الوجه في جميع الإدارات العمومية.,Technology,fake
10-12-2027,": نادي مولودية باتنة راهو يصعد للقسم الأول بـ ""التجميد""!",Sports,fake
23-01-2028,: اكتشاف بلي شرب الشاي الأخضربزاف يسبب فشل كلوي خطير.,Health,fake
05-03-2028,: راح يبداو يطبقو قانون جديد يمنع الطلاقإلا بعد موافقة رئيس المحكمة شخصيا.,Judiciary,fake
18-04-2028,: وزارة التربية راح دير رحلات مجانيةللطلبة المتميزين لـ فرنسا.,Education,fake
01-05-2028,: إشاعة بلي الرئيس راهو يخطط باش يزيد عهدة رئاسية رابعة!,Politics,fake
14-06-2028,: اكتشاف نبع ماء سري في الصحراء يمد ماء يكفي الجزائر لمدة 100 سنة!,Environment,fake
27-07-2028,: إطلاق مشروع ضخم لزراعة القهوةفي جبال جيجل باش نصدروها.,Economy,fake
10-08-2028,: تحذير من رسائل احتيالية في الفيسبوك تقول بلي ربحت فيزا لأوروبا!,Social,fake
23-09-2028,: لقاو سرداب سري تحت قصر الحكومة فيه وثائق تاريخية مهمة.,Culture,fake
06-10-2028,: نادي اتحاد خنشلة راهو يشتري مدرب عالمي إنجليزي مشهور.,Sports,fake
19-11-2028,: إشاعة بلي المطاعم الجامعية راهي تستعمل لحم قديم فاسد للطلبة.,Health,fake
03-12-2028,: راح يبداو يطبقو قانون جديد يمنع المرأةمن العمل إلا بإذن من الزوج.,Judiciary,fake
16-01-2029,: إلغاء المنحة الجامعية على الطلبة اللي ما يشاركوش في النشاطات الرياضية.,Education,fake
28-02-2029,: إشاعة بلي الوزير تاع المالية راهو يقدم استقالتو بعد ما لقاوه متورط في فضيحة.,Politics,fake
13-03-2029,: إطلاق تطبيق جزائري جديد يسمحلك تشوف كاميرات المراقبة تاع أي بلاصة!,Technology,fake
26-04-2029,: راح يبداو يطبقو ضريبة على كل واحد عندو أكثر من حساب بنكي واحد.,Economy,fake
09-05-2029,: إشاعة بلي الزواج راح يولي إجباري في سن 25 سنة للشباب.,Social,fake
22-06-2029,: اكتشاف نبات طبي جديد في الصحراء الجزائرية يعالج الصلع نهائياً.,Health,fake
05-07-2029,: إشاعة بلي كتاب قديم جداً تاع ابن خلدون لقاو فيه تنبؤات لـ نهاية العالم!,Culture,fake
18-08-2029,: نادي مولودية الجزائر راهو يشتري الطائرة الخاصة تاعو!,Sports,fake
31-08-2029,: تم إلقاء القبض على أكبر عصابة تزوير عملة في تاريخ الجزائر.,Judiciary,fake
14-10-2029,: وزارة التربية راح دير نظام كاميرات في جميع الأقسام باش تراقب الأساتذة.,Education,fake
27-11-2029,: إشاعة بلي الجزائر راح ترجع العلاقات الدبلوماسية مع إسرائيل سراً.,Politics,fake
10-12-2029,: إطلاق مشروع ضخم لإنشاء مصنع سيارات فيراري في الجزائر.,Economy,fake
23-01-2030,: اكتشاف بلي كاين لقاح جزائري جديد يقضي على جميع أنواع السرطان!,Health,fake
06-02-2030,: إشاعة بلي أكبر مؤثرة في الجزائر راهي تعتزل السوشل ميديا وتتفرغ لحياتها الخاصة.,Social,fake
01-03-2030,: إطلاق خدمة الإنترنت الفضائي(Starlink) مجاناً في الجزائر.,Technology,fake
14-04-2030,: نادي مولودية وهران راهو يوقع عقد مع اللاعب الدولي رياض محرز!,Sports,fake
27-05-2030,: اكتشاف نبات سحري في الصحراء يقدر يولد الكهرباء بطريقة طبيعية.,Environment,fake
09-06-2030,: راح يبداو يطبقو قانون جديد يمنع التجمعات في المقاهي بعد 10 تاع الليل.,Judiciary,fake
23-07-2026,: إشاعة بلي الدولة راح تبيع سكنات وظيفية للعمال تاع القطاع العام بسعر رمزي (100 مليون سنتيم).,Social,fake
06-08-2026,: إطلاق بطاقة تموين جديدة للجزائريين باش ياخذو بيها المواد المدعمة برك.,Economy,fake
19-09-2026,: إشاعة بلي الذكاء الاصطناعي راح يعوض 50% من الموظفين في الإدارات العمومية.,Technology,fake
02-10-2026,: المدرب ماضوي راهو يرجع يدرب نادي وفاق سطيف للمرة الأخيرة!,Sports,fake
16-11-2026,: تحذير من نوع جديد من الخضر راهو يتباع في الأسواق فيه مواد كيميائية تسبب العقم.,Health,fake
30-12-2026,: قرروا يديرو اختبار الذكاء إجباري على كل طفل يدخل للقسم التحضيري.,Education,fake
12-01-2027,: إشاعة بلي الرئيس راهو يخطط باش يغير العاصمة الإدارية من الجزائر العاصمة لمدينة جديدة في الوسط.,Politics,fake
25-02-2027,: اكتشاف كنز من الذهب تحت قصبة الجزائر العاصمة قيمتو مليار دولار.,Culture,fake
10-03-2027,: إطلاق قرض سياحي جديد بلا فوائد باش الناس تدير سياحة داخلية في الصحراء.,Economy,fake
24-04-2027,: إشاعة بلي الزواج العرفي راح يولي ممنوع نهائيا بقانون جديد صارم.,Social,fake
07-05-2027,: إطلاق خدمة الواي فاي المجاني في جميع حافلات النقل الحضري.,Technology,fake
20-06-2027,: نادي اتحاد عنابة راهو يرجع للقسم الأول بقرار من الفيفا!,Sports,fake
03-07-2027,: اكتشاف بلي المطاعم الكبيرة راهي تستعمل زيت مقلي قديم بزاف ومضر بالصحة.,Health,fake
16-08-2027,: راح يبداو يطبقو قانون جديد يجبر كل مواطن باش يخدم الخدمة المدنية (Service Civique) لمدة 6 أشهر.,Judiciary,fake
29-09-2027,: وزارة التربية راح تزيد نقطة إضافية في البكالوريا للطلبة اللي يتطوعو في الأعمال الخيرية.,Education,fake
12-10-2027,: إشاعة بلي الجزائر راح تفتح مكاتب تجارية رسمية في إسرائيل سراً.,Politics,fake
26-11-2027,: اكتشاف بلي شجرة الصنوبر في الجزائر عندها القدرة على امتصاص الاشعاعات النووية.,Environment,fake
09-12-2027,: الدولة راح تمد منحة مالية للي يقرروا يفتحو مكتبة في حي تاعهم.,Economy,fake
22-01-2028,: إشاعة بلي أكبر طبيب أسنان في العاصمة راهو متهم في قضية تحرش بـ المريضات.,Social,fake
05-03-2028,: إطلاق خدمة جديدة باش تقدر تدفع فواتير الماء والغاز عن طريق الرسائل النصية(SMS).,Technology,fake
18-04-2028,: اللاعب الدولي إسماعيل بن ناصر راهو يرجع لناديه القديم ميلان بطلب من المدرب الجديد!,Sports,fake
01-05-2028,: اكتشاف بلي النوم بزاف في النهار يسبب مرض الزهايمر في سن مبكرة.,Health,fake
14-06-2028,: راح يبداو يطبقو غرامة كبيرة على أي واحد يلوح قارورة بلاستيكية في الطريق العام.,Judiciary,fake
28-07-2028,: وزارة التربية قررت تنحي الفلسفة من جميع الشعب في البكالوريا.,Education,fake
10-08-2028,: إشاعة بلي الوزير تاع الخارجية راهو يخطط باش يترشح لمنصب الأمين العام للأمم المتحدة!,Politics,fake
23-09-2028,: اكتشاف مغارة سرية تحت الأرض في غرداية فيها كنوز تاع أهل ميزاب.,Culture,fake
06-10-2028,: الدولة راح تمد قروض بدون فوائد باش تشري الذهب وتخزنو.,Economy,fake
19-11-2028,: إشاعة بلي المؤثرة فلانة راهي تحضر باش تفتح شركة إعلانات عالمية في دبي.,Social,fake
03-12-2028,: إطلاق نظام مراقبة بالدرون في جميع المدن الكبرى لمكافحة الجريمة.,Technology,fake
16-01-2029,: نادي مولودية البيض راهو يشتري طيارة خاصة باش ينقل الفريق للمباريات.,Sports,fake
01-02-2029,: اكتشاف بلي الخبز الجزائري راهو فيه مادة كيميائية تسبب السمنة المفرطة!,Health,fake
14-03-2029,: راح يبداو يطبقو عقوبة الإعدام في قضايا الاحتيال الإلكتروني الكبيرة.,Judiciary,fake
27-04-2029,: وزارة التعليم العالي راح تمنع الطلبة اللي يدخنو من السكن في الإقامات الجامعية.,Education,fake
10-05-2029,: إشاعة بلي الجزائر راح تدير قاعدة عسكرية مشتركة مع فرنسا سراً.,Politics,fake
23-06-2029,: اكتشاف بلي النمل الأبيض راهو يهدد المباني القديمة في قسنطينة.,Environment,fake
06-07-2029,: إطلاق برنامج جديد لبيع شقق فاخرةفي العاصمة بـ نظام المقايضة (تخلص بالذهب).,Economy,fake
19-08-2029,: إشاعة بلي الحكومة راح تمد سيارة جديدة لكل عائلة عندها أكثر من 4 دراري.,Social,fake
01-09-2029,: اكتشاف بلي كوكب الأرض راهو يخبي تحتو مدينة غارقة كانت عايشة فيها حضارة قديمة.,Culture,fake
14-10-2029,: المدرب ماجر راهو يرجع يدرب نادي باريس سان جيرمان!,Sports,fake
27-11-2029,: تم إلقاء القبض على أكبر جاسوس كان يخدم لـ إسرائيل في العاصمة.,Judiciary,fake
10-12-2029,: وزارة التربية راح تفرض على الطلبة يلبسو اللباس التقليدي (الجبة/القفطان) يومياً.,Education,fake
23-01-2030,: إشاعة بلي الجزائر راح تفتح سفارةرسمية لـ الجمهورية الصحراوية في تندوف.,Politics,fake
06-02-2030,: اكتشاف بلي الماء تاع البحر في الجزائر يشفي من مرض الروماتيزم نهائياً.,Health,fake
01-03-2030,: إطلاق خدمة الترجمة الفوريةبالصوت مجاناً في جميع الإدارات العمومية.,Technology,fake
14-04-2030,: راح يبداو يديرو ضريبة على كل واحد عندو أكثر من 5 قطع ملابس جديدة في الخزانة.,Economy,fake
27-05-2030,: إشاعة بلي الخطبة (الارتباط) راح تولي إجبارية قبل الزواج بقانون جديد.,Social,fake
09-06-2030,: اكتشاف بلي كاين نهر كبير مدفون تحت الصحراء الجزائرية!,Environment,fake
23-07-2030,: اكتشاف مكان دفن الزعيم الأمازيغي شيشنق في جبال جرجرة.,Culture,fake
05-08-2030,: راح يبداو يطبقو غرامة كبيرة على أي واحد يستعمل اللغة الفرنسية في المراسلات الرسمية.,Judiciary,fake
18-09-2030,: نادي مولودية الجزائر راهو يشتري ملعب جديد خاص بيه.,Sports,fake
01-11-2026,: إطلاق مشروع سكنات ضخم جديد مخصص للطلبة اللي يتزوجو وهما يقراو في الجامعة.,Social,fake
14-12-2026,: إشاعة بلي الدولة راح تفرض ضريبة شهرية على كل واحد عندو حساب في بايبال (PayPal).,Economy,fake
27-01-2027,: إطلاق نظام مراقبة إلكترونيجديد في المدارس باش يراقب الغيابات والنتائج تاع الطلبة.,Technology,fake
10-03-2027,: المدرب ماضوي راهو يتنحى من تدريب وفاق سطيف بعد أول مباراة!,Sports,fake
23-04-2027,: تحذير من نوع تاع سمك راهو يتباع في الأسواق فيه نسبة كبيرة تاع زئبق سام.,Health,fake
06-05-2027,: وزارة التربية راح تزيد مادة جديدةتدرس على الذكاء الاصطناعي في البكالوريا.,Education,fake
19-06-2027,: إشاعة بلي الجزائر راح تفتح مطار دولي جديد في منطقة تيارت باش يخففو الضغط على العاصمة.,Politics,fake
02-07-2027,: اكتشاف مكان دفن الزعيم الأمير عبد القادر في المغرب، والجزائر تطالب بالرفات!,Culture,fake
15-08-2027,: إطلاق قرض استثماري جديد بـ 0% فائدة للناس اللي تفتح مشاريع في الجنوب.,Economy,fake
28-09-2027,: إشاعة بلي الحكومة راح تمنع سفر العائلات للخارج في العطلة الصيفية.,Social,fake
11-10-2027,: إطلاق تطبيق جزائري جديد يسمحلك تشوف شكون دارلك بلوك في الفيسبوك!,Technology,fake
24-11-2027,: نادي أوروبي كبير راهو يخطط باش يشتري ملعب 5 جويلية باش يدرب فيه!,Sports,fake
07-12-2027,: اكتشاف بلي المشروبات الغازية راهي تسبب نوبات قلبية خطيرة عند الشباب.,Health,fake
20-01-2028,: راح يبداو يطبقو غرامة كبيرة على أي واحد ما يرجعش النقود المعدنية القديمة للبنك.,Judiciary,fake
04-03-2028,: إلغاء الامتحانات الشفوية (Oral) في جميع المواد للطلبة الجامعيين.,Education,fake
17-04-2028,: إشاعة بلي الجزائر راح ترجع العلاقات الدبلوماسية مع الإمارات العربية المتحدة.,Politics,fake
30-05-2028,: اكتشاف بلي غابات الأطلس البليديعندها القدرة على توليد الطاقة الشمسيةطبيعياً.,Environment,fake
13-06-2028,: إطلاق مشروع ضخم لزراعة الكاكاوفي تيزي وزو باش نصدروه.,Economy,fake
26-07-2028,: إشاعة بلي الحكومة راح تمنع الاحتفالات في الشارع (كيما الأعياد والمواسم).,Social,fake
08-08-2028,: اكتشاف مدينة مفقودة تحت جبال الهقار كانت عايشة فيها حضارة قديمة بزاف.,Culture,fake
21-09-2028,: نادي شبيبة سكيكدة راهو يصعد للقسم الأول بقرار من الرئيس!,Sports,fake
04-10-2028,: اكتشاف بلي أكل التمر بزاف يسبب مرض القلب خطير عند الكبار.,Health,fake
17-11-2028,: راح يبداو يطبقو قانون جديد يفرض على كل مواطن يلبس شارة تعريفية (Badge) في الشارع.,Judiciary,fake
30-12-2028,: وزارة التربية راح تمنع الدروس الخصوصية (Les Cours) نهائيا على الأساتذة.,Education,fake
12-01-2029,: إشاعة بلي الرئيس راهو يخطط باش يعين إمرأة تكون وزير أول للبلاد.,Politics,fake
25-02-2029,: إطلاق نظارات ذكية جديدة جزائرية الصنع، تقدر تشوف بيها الصور ثلاثية الأبعاد.,Technology,fake
10-03-2029,: إطلاق مشروع ضخم لإنشاء مصنع طائرات بدون طيار في بشار.,Economy,fake
23-04-2029,: إشاعة بلي الحكومة راح تمد منحة شهرية للي يختارو ما يتزوجوش.,Social,fake
06-05-2029,: اكتشاف مادة جديدة في الصحراء الجزائرية عندها القدرة على تنقية الهواء من التلوث 100%.,Environment,fake
19-06-2029,: لقاو رسالة سرية كتبها الشيخ بن باديس فيها وصية سياسية مهمة جداً.,Culture,fake
02-07-2029,: اللاعب الدولي سفيان فيغولي راهو يرجع يلعب في نادي تركي جديد.,Sports,fake
15-08-2029,: تحذير من معقمات اليدين اللي يتباعو في الشارع، راهي تسبب حروق جلدية خطيرة.,Health,fake
28-09-2029,: راح يبداو يطبقو قانون جديد يجبر كل مواطن باش يدير تأمين ضد البطالة.,Judiciary,fake
11-10-2029,: وزارة التعليم العالي راح تلغي الماجستير في جميع التخصصات.,Education,fake
24-11-2029,: إشاعة بلي الجزائر راح تدخل في اتحاد اقتصادي جديد مع تركيا وإيران.,Politics,fake
07-12-2029,: إطلاق خدمة جديدة باش تقدر تستعمل الإنترنت حتى كي تكون في الطيارة.,Technology,fake
20-01-2030,: إطلاق قروض بدون فوائد باش تفتح مشاريع خاصة بالكلاب والقطط.,Economy,fake
05-03-2030,: إشاعة بلي الزواج راح يولي بزاف صعيب، لازم دير شهادة باش تتزوج.,Social,fake
18-04-2030,: اكتشاف حيوان خرافي جديد في جبال جبالة (ولاية تيبازة) كانو يقولو انقرض.,Environment,fake
01-05-2030,: اكتشاف مدينة سكنها الجن في صحراء أدرار والناس راهي تهرب منها.,Culture,fake
14-06-2030,: اللاعب الدولي آدم وناس راهو يرجع يلعب في نادي أوروبي كبير بـ إيطاليا.,Sports,fake
27-07-2030,: تحذير من أغطية الأسرّة المستوردة الجديدة، راهي تسبب حساسية قاتلة.,Health,fake
09-08-2030,: راح يبداو يطبقو غرامة كبيرة على أي واحد يغني في الشارع بلا إذن.,Judiciary,fake
22-09-2030,: وزارة التربية قررت تنحي اللغة الإنجليزية من البكالوريا وتخليها اختيارية.,Education,fake
05-10-2030,: إشاعة بلي الرئيس راهو يخطط باش يترشح لجائزة نوبل للسلام!,Politics,fake
01-12-2030,إطلاق مشروع كبير لزراعة القمح في الصحراء يخلي الجزائر تنتج 100% من وش تحتاج.,Economy,fake
14-01-2031,راهي دايرة حكاية بلي الحكومة رايحة تمد شهرية للناس لي ماعندهمش كونطوات في السوشيال ميديا.,Social,fake
27-02-2031,اكتشاف بير ماء معدني سري في الجزائر، يشفي من الأمراض في العاصمة,Health,fake
12-03-2031,لقاو سرداب مخبي تحت قصر الثقافة، فيه بيبليوطيك كحلة تاع مخطوطات قدم,Culture,fake
